我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
不是丢在厕所的垃圾桶里了吗？分明还可以穿，为什么丢掉？难道是踩到了狗屎？	要是学校里有狗屎那问题就大了。谢谢你。我找不到便鞋，正不知道该怎么办呢！
喔，这样啊。小心点啊。要口香糖吗？	不要。我去拿回来。
你们果然在交往吧？	没有。刚好在车站碰到而已。大概是被谁看见了吧。
呀——喔——，我不在你果然很寂寞吧？	果然有人不在山上也会叫『呀——喔——』。你以为山彦号*10会回应你吗？对了，有同学找你喔。
谁？	名字不太清楚，一个文静的女生跟班长。
椅子好可怜。	跟纯情少女说这种话好吗？
我不觉得你是纯情少女。	嘿嘿嘿嘿，说这种话没关系吗？昨天才有男生跟我告白呢。
昨天放学后被人叫去，然后被告白了。	如果是真的，告诉我没问题吗？
难道你以为米飞兔的叉叉是嘴巴？那是从中间分开的，上面是鼻子，下面是嘴巴。	骗人！
喔，回到原来话题。所以呢？	嗯，我说对不起啦。你猜为什么？
谁晓得。	不告诉你！
这么说来，这种下雨的日子没法出去玩，今天你就到我家来，可以吧？	你家跟我家方向相反，不要！
不要用这么普通的理由随便拒绝啦！这样简直是讨厌人家邀请你，不是嘛？	真没想到，你简直像是以为我不讨厌一样。
总之你听我说啦。听了之后，你搞不好就会想来我家了。	你粉碎了我比水果奶昔*11还坚固的意志。
你话中的条理也跟优格一样呢。好像可以跟我的意志混合在一起。	嗯，要不要混和看看？
不要这么惊愕地看著我啦。好吧好吧，回到原来的主题。上次我不是说过我从来不看书嘛。	你是说过，但是看漫画。
嗯，后来我想起来了，我基本上不看书，但是小时候有一本喜欢的书，是我爸爸买给我的。有兴趣吗？	原来如此，这我很难得地有兴趣喔。我觉得喜欢的书可以展现一个人的本性。像你这样的人会喜欢怎样的书，我很好奇？
《小王子》，你知道吗？	圣·修伯里？
光是你以为《小王子》没有名气，就知道你对书多没兴趣了。	这样啊。所以你看过啰？真是的！
没有，不好意思，我还没看过。	这样啊！
讨厌，我就想会不会是这样。	你知道说谎会下地狱吗？
要是没看过，那我的《小王子》借你看。你今天到我家来拿！	你拿来不就好了吗？
你要女孩子搬重物？	我虽然没看过，但那是文库本吧。
我可以拿去你家喔。	那就不重了吗？算了，随便啦。跟你做这种无谓的争论实在很累，要是你想来我家，那不如我去你家吧。
喔，你很明理嘛。怎么啦？	我跟你学的。草船跟大型船对抗完全没有意义。
下雨真讨厌。	……你的感觉真的和我不合啊！
虽然没有，但同样是高中生，我想应该差不了多少，没什么好玩的吧。	是没错啦。我的房间很朴素。京子的房间里贴满了乐团的海报，比男生还像男生。你喜欢的阳菜，她的房间里都是填充玩具之类的可爱玩意。对了，下次跟阳菜三个人一起去玩吧？
谢谢，不用了。我在漂亮的女生面前会紧张，说不出话来。	这是装傻说我不漂亮，但没用的。那晚你说过我是第三可爱，我可没忘记喔！
我回来了——！	打搅了。
家里没人喔。	……跟空屋大声说自己回来了，你脑子有问题吧。
要玩什么？真心话大冒险？	你不是要借我书吗？我是来借书的。
我不想交也没办法交，我没有朋友。	女朋友就罢了，交朋友吧。
等我想交的时候再说。	想交的时候，嗯，喏。
嗯。	你完全没意思，要我当你女朋友吧？
哇哈哈哈，撞车了！	……你在说什么啊？
啊，女朋友？只是确定一下而已。你并不喜欢我吧？不管怎样，你都不会想要我当你女朋友吧。	……不会。
很好，我放心了。	……………………
『？？？？？』同学就没关系。	…………
噗。	…………
你住在这附近啊。	……不是。
『不可原谅的家伙』，我问你为什么在这里？	……有点事。
我说是小樱吧。	…………
回答我！	……你说的小樱，如果跟我认识的同班同学是同一个人的话，那就是了。
小樱……	…………
总之，不是你跟班上同学以为的那种关系。	就算是这样，小樱还是花时间跟你在一起。
……说得也是。	跟你这种不合群的阴沈家伙！
这种家伙……是说谁……『过份的同学』吗？	对，这家伙缠著小樱，我让他不要再多管闲事，教训了他一下。
不要突然过来啦。我会先丢脸死的。	要是你因为这种前所未闻的方式死了，我会拿来当一辈子的笑话说喔。这是给你，探病的礼物。
完全没事。只是数值有点变动，我爸妈很担心，就送我来住院，没问题的啦。大概住院两星期，接受特别的药物治疗，然后就可以回去上学了。	那个时候已经放暑假了。
你跟其他人，比方说闺蜜恭子同学，是怎么说的？	我跟恭子他们说来割盲肠。医院这里也配合我的说法。她们好像很担心，这样我更不能说实话啦。几天前把我压倒在床上的『交情好的同学』觉得如何？
唔——，我觉得至少应该跟闺蜜恭子同学说清楚。然后就尊重前几天扑过来抱住我的当事人的想法啦。	哎哟，不要让我想起来啊！好丢脸！死前被你压倒的事，要是让恭子知道，你就乖乖等著被宰吧。
你想让闺蜜同学成为杀人凶手吗？真是罪孽深重。	闺蜜同学是什么意思？
这是我给恭子同学取的小名。有亲近的意味。	听起来非常死板，就好像叫课长先生是一样的吧？
点心吃完，开始做功课了。	哎——，再混一会儿嘛！
谢谢。『交情好的同学』很会教人啊。以后当老师吧！	才不要。你为什么老是要我做跟别人扯上关系的事情啊？
可能是要你替我做，如果我不死的话会想做的事吧。	你这么说，我要是拒绝了不是显得很卑鄙嘛，不要这样。
那在你回去之前，变魔术给你看吧。魔术喔！	哎，你已经学会了？
下次我会表演更难的，敬请期待！	我很期待。最后表演从著火的箱子里脱逃吧。
你是说火葬场？那不可能的啦！	就说了不要讲这种笑话。
对了，『交情好的同学』，上次借你的我哥的T恤和内裤呢？	啊……
恭子、『交情好的同学』跟大家都好好玩啊！	你觉得背后说人坏话很好玩？真是恶劣！
我觉得大家之前都不理会你，现在这样注意你很好玩。那你知道自己为什么会陷入现在的状况吗？	当然是因为跟你在一起，不是吗？
大家都不知道『交情好的同学』是怎样的人，所以才会那么想。为了解开彼此的误会，你应该多跟同学们往来。	我不做对大家都没好处的事。
除了你跟恭子同学，其他人都只觉得我是『平凡的同学』吧？	这你问过他们吗？
没问过。但我想应该是这样。	这种事不直接问怎么知道，只是『交情好的同学』自己想像的吧？谁说一定就是正确的。
不管正不正确都无所谓，反正我不跟任何人往来，只是我的想像而已。我喜欢在人家叫我的时候，想像对方是怎么看我的。	干嘛就自已想像自己下结论啊。你是自我完结类的男生？
对了，那你觉得我是怎么想你的？	谁晓得，不是『交情好』吗？
那你是怎么想的？	人家告诉你就没有意思啦。就是因为不知道别人对自己的看法，所以友情跟爱情才有趣。
果然你的想法是这样的。	咦，我们之前也讲过吗？
大家也就罢了，告诉恭子同学吧。她实在很可怕。	我已经说了啊。那孩子非常关心朋友，她觉得你骗了我。
是你的表达能力有问题吧。恭子同学看起来很聪明。	哎，为什么一直称赞恭子，你打算在我死后玩弄她吗？就算是我，也觉得这样太过份啦！
这样下去，一年以后，八成可以变出厉害的大魔术啦。	嗯，差不多吧——嘿！
不要，我还不想成为杀人凶手。	没问题的，濒死的恋人在逃离医院途中死掉，大家一定都会原谅你的。
依照你的理论，就算别人说不要推，还是把人家推进热水里，也可以被原谅啰？	哎，可以吧？
喏，你知道樱花为什么在春天开吗？	你是说自己吗？那我不知道你是什么意思。
不是啦。我什么时候叫过自己的名字？难、难道除了我之外，你还有叫小樱的女人……原来你这么花心，怎么不去死一死啊！	你不要因为天国好像很闲就要把我拉去。对了，你的葬礼一定要在友引日*13举行。
哎——，我希望我的朋友都活著，所以不行啦。	那你能用稿纸写下我死了也没关系的理由吗？喔，刚才是说樱花为什么在春天开吧！就是在春天开的花不是嘛？
原来如此。跟你的名字真相配。	因为很漂亮？怪不好意思的。
『?????』同学的名字也很适合你喔！	……这很难说。
喏……『？？？？？同学』。	……嗯，怎么啦。
玩真心话大冒险，好吗？	……为什么？
你有一定想问的事情，要不就是非常想要的东西吧？而且，如果随便拜托我的话，我可能会拒绝。	不是……那样的。你也有可能直接告诉我，但我没办法决定要不要问，所以就让命运决定了。
